text,author,clean_text
“It is never too late to be what you might have been.”,George Eliot,“it is never too late to be what you might have been.”
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"“a reader lives a thousand lives before he dies, said jojen. the man who never reads lives only one.”"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,“you can never get a cup of tea large enough or a book long enough to suit me.”
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,“you believe lies so you eventually learn to trust no one but yourself.”
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"“if you can make a woman laugh, you can make her do anything.”"
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"“life is like riding a bicycle. to keep your balance, you must keep moving.”"
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,“the real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,"“a wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,“only in the darkness can you see the stars.”
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,"“it matters not what someone is born, but what they grow to be.”"
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,"“love does not begin and end the way we seem to think it does. love is a battle, love is a war; love is a growing up.”"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"“there is nothing i would not do for those who are really my friends. i have no notion of loving people by halves, it is not my nature.”"
“Do one thing every day that scares you.”,Eleanor Roosevelt,“do one thing every day that scares you.”
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,"“i am good, but not an angel. i do sin, but i am not the devil. i am just a small girl in a big world trying to find someone to love.”"
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,"“if i were not a physicist, i would probably be a musician. i often think in music. i live my daydreams in music. i see my life in terms of music.”"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"“if you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,“the difference between genius and stupidity is: genius has its limits.”
"“He's like a drug for you, Bella.”",Stephenie Meyer,"“he's like a drug for you, bella.”"
“There is no friend as loyal as a book.”,Ernest Hemingway,“there is no friend as loyal as a book.”
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,"“when one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,“life isn't about finding yourself. life is about creating yourself.”
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,"“that's the problem with drinking, i thought, as i poured myself a drink. if something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,“you don’t forget the face of the person who was your last hope.”
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,"“remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,"“to love at all is to be vulnerable. love anything and your heart will be wrung and possibly broken. if you want to make sure of keeping it intact you must give it to no one, not even an animal. wrap it carefully round with hobbies and little luxuries; avoid all entanglements. lock it up safe in the casket or coffin of your selfishness. but in that casket, safe, dark, motionless, airless, it will change. it will not be broken; it will become unbreakable, impenetrable, irredeemable. to love is to be vulnerable.”"
“Not all those who wander are lost.”,J.R.R. Tolkien,“not all those who wander are lost.”
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,"“do not pity the dead, harry. pity the living, and, above all those who live without love.”"
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,“there is nothing to writing. all you do is sit down at a typewriter and bleed.”
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,“finish each day and be done with it. you have done what you could. some blunders and absurdities no doubt crept in; forget them as soon as you can. tomorrow is a new day. you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
“I have never let my schooling interfere with my education.”,Mark Twain,“i have never let my schooling interfere with my education.”
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,“i have heard there are troubles of more than one kind. some come from ahead and some come from behind. but i've bought a big bat. i'm all ready you see. now my troubles are going to have troubles with me!”
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,“if i had a flower for every time i thought of you...i could walk through my garden forever.”
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,“some people never go crazy. what truly horrible lives they must lead.”
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"“the trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"“think left and think right and think low and think high. oh, the thinks you can think up if only you try!”"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"“what really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. that doesn't happen much, though.”"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,“the reason i talk to myself is because i’m the only one whose answers i accept.”
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"“you may say i'm a dreamer, but i'm not the only one. i hope someday you'll join us. and the world will live as one.”"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,“i am free of all prejudice. i hate everyone equally. ”
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,“the question isn't who is going to let me; it's who is going to stop me.”
“′Classic′ - a book which people praise and don't read.”,Mark Twain,“′classic′ - a book which people praise and don't read.”
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,“anyone who has never made a mistake has never tried anything new.”
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"“a lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,"“remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of lord voldemort. remember cedric diggory.”"
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"“i declare after all there is no enjoyment like reading! how much sooner one tires of any thing than of a book! -- when i have a house of my own, i shall be miserable if i have not an excellent library.”"
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"“there are few people whom i really love, and still fewer of whom i think well. the more i see of the world, the more am i dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,“some day you will be old enough to start reading fairy tales again.”
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,“we are not necessarily doubting that god will do the best for us; we are wondering how painful the best will turn out to be.”
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,“the fear of death follows from the fear of life. a man who lives fully is prepared to die at any time.”
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,“a lie can travel half way around the world while the truth is putting on its shoes.”
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"“i believe in christianity as i believe that the sun has risen: not only because i see it, but because by it i see everything else.”"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,"“the truth."" dumbledore sighed. ""it is a beautiful and terrible thing, and should therefore be treated with great caution.”"
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"“i'm the one that's got to die when it's time for me to die, so let me live my life the way i want to.”"
“To die will be an awfully big adventure.”,J.M. Barrie,“to die will be an awfully big adventure.”
“It takes courage to grow up and become who you really are.”,E.E. Cummings,“it takes courage to grow up and become who you really are.”
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,“but better to get hurt by the truth than comforted with a lie.”
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,“you never really understand a person until you consider things from his point of view... until you climb inside of his skin and walk around in it.”
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"“you have to write the book that wants to be written. and if the book will be too difficult for grown-ups, then you write it for children.”"
“Never tell the truth to people who are not worthy of it.”,Mark Twain,“never tell the truth to people who are not worthy of it.”
"“A person's a person, no matter how small.”",Dr. Seuss,"“a person's a person, no matter how small.”"
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”"
